/home/oliver/anaconda3/envs/pytorch/bin/python /home/oliver/PycharmProjects/StereoNet/pretrain-sceneflow/sceneflow-pretrain.py
-- model using stereonet --
-- no checkpoint --
Number of model parameters: 424610
This is 0-th epoch
learning rate : 0.001000
/home/oliver/anaconda3/envs/pytorch/lib/python3.7/site-packages/torch/nn/_reduction.py:49: UserWarning: size_average and reduce args will be deprecated, please use reduction='mean' instead.
Iter 260 training loss = 11.738 , time = 0.47
Iter 280 training loss = 8.640 , time = 0.47
Iter 300 training loss = 12.946 , time = 0.50
Iter 320 training loss = 13.392 , time = 0.47
Iter 340 training loss = 10.625 , time = 0.47
Iter 360 training loss = 7.331 , time = 0.49
Iter 380 training loss = 10.789 , time = 0.47
Iter 400 training loss = 7.453 , time = 0.51
Iter 420 training loss = 12.954 , time = 0.47
Iter 440 training loss = 10.910 , time = 0.51
Iter 460 training loss = 11.966 , time = 0.50
Iter 480 training loss = 10.848 , time = 0.51
Iter 500 training loss = 9.093 , time = 0.47
Iter 520 training loss = 17.882 , time = 0.46
Iter 540 training loss = 12.181 , time = 0.47
Iter 560 training loss = 12.467 , time = 0.50
Iter 580 training loss = 12.914 , time = 0.50
Iter 600 training loss = 9.606 , time = 0.47
Iter 620 training loss = 9.505 , time = 0.48
Iter 640 training loss = 7.111 , time = 0.48
Iter 660 training loss = 11.424 , time = 0.50
Iter 680 training loss = 7.646 , time = 0.49
Iter 700 training loss = 9.949 , time = 0.48
Iter 720 training loss = 8.662 , time = 0.47
Iter 740 training loss = 12.929 , time = 0.49
Iter 760 training loss = 12.145 , time = 0.51
Iter 780 training loss = 7.351 , time = 0.48
Iter 800 training loss = 7.134 , time = 0.47
Iter 820 training loss = 6.960 , time = 0.47
Iter 840 training loss = 14.890 , time = 0.48
Iter 860 training loss = 11.146 , time = 0.50
Iter 880 training loss = 7.300 , time = 0.49
Iter 900 training loss = 8.925 , time = 0.47
Iter 920 training loss = 9.453 , time = 0.48
Iter 940 training loss = 10.596 , time = 0.53
Iter 960 training loss = 12.983 , time = 0.47
Iter 980 training loss = 9.171 , time = 0.48
Iter 1000 training loss = 8.458 , time = 0.48
Iter 1020 training loss = 8.602 , time = 0.46
Iter 1040 training loss = 12.325 , time = 0.52
Iter 1060 training loss = 9.916 , time = 0.47
Iter 1080 training loss = 8.095 , time = 0.49
Iter 1100 training loss = 10.416 , time = 0.46
Iter 1120 training loss = 10.354 , time = 0.50
Iter 1140 training loss = 8.530 , time = 0.47
Iter 1160 training loss = 8.235 , time = 0.49
Iter 1180 training loss = 6.889 , time = 0.48
Iter 1200 training loss = 9.650 , time = 0.48
Iter 1220 training loss = 10.765 , time = 0.49
Iter 1240 training loss = 9.157 , time = 0.49
Iter 1260 training loss = 10.158 , time = 0.48
Iter 1280 training loss = 10.681 , time = 0.47
Iter 1300 training loss = 12.511 , time = 0.49
Iter 1320 training loss = 8.135 , time = 0.49
Iter 1340 training loss = 8.245 , time = 0.52
Iter 1360 training loss = 8.821 , time = 0.51
Iter 1380 training loss = 9.474 , time = 0.50
Iter 1400 training loss = 8.599 , time = 0.49
Iter 1420 training loss = 7.592 , time = 0.51
Iter 1440 training loss = 9.988 , time = 0.47
Iter 1460 training loss = 9.900 , time = 0.48
Iter 1480 training loss = 9.125 , time = 0.48
Iter 1500 training loss = 9.397 , time = 0.47
Iter 1520 training loss = 13.559 , time = 0.51
Iter 1540 training loss = 9.173 , time = 0.48
Iter 1560 training loss = 7.108 , time = 0.49
Iter 1580 training loss = 7.188 , time = 0.47
Iter 1600 training loss = 9.426 , time = 0.48
Iter 1620 training loss = 9.448 , time = 0.50
Iter 1640 training loss = 8.938 , time = 0.49
Iter 1660 training loss = 7.947 , time = 0.51
Iter 1680 training loss = 9.651 , time = 0.47
Iter 1700 training loss = 8.307 , time = 0.48
Iter 1720 training loss = 9.332 , time = 0.47
Iter 1740 training loss = 7.601 , time = 0.50
Iter 1760 training loss = 9.710 , time = 0.49
Iter 1780 training loss = 9.954 , time = 0.47
Iter 1800 training loss = 8.974 , time = 0.48
Iter 1820 training loss = 8.829 , time = 0.50
Iter 1840 training loss = 8.902 , time = 0.49
Iter 1860 training loss = 6.623 , time = 0.47
Iter 1880 training loss = 7.007 , time = 0.48
Iter 1900 training loss = 9.818 , time = 0.50
Iter 1920 training loss = 8.696 , time = 0.50
Iter 1940 training loss = 8.040 , time = 0.47
Iter 1960 training loss = 8.957 , time = 0.49
Iter 1980 training loss = 7.745 , time = 0.51
Iter 2000 training loss = 11.323 , time = 0.51
Iter 2020 training loss = 7.985 , time = 0.46
Iter 2040 training loss = 8.109 , time = 0.53
Iter 2060 training loss = 8.846 , time = 0.47
Iter 2080 training loss = 10.634 , time = 0.47
Iter 2100 training loss = 6.751 , time = 0.46
Iter 2120 training loss = 9.776 , time = 0.47
Iter 2140 training loss = 8.921 , time = 0.48
Iter 2160 training loss = 7.956 , time = 0.51
Iter 2180 training loss = 5.943 , time = 0.47
Iter 2200 training loss = 13.519 , time = 0.48
epoch 1 total training loss = 9.574
This is 2-th epoch
learning rate : 0.000810
Iter 0 training loss = 8.026 , time = 0.64
Iter 20 training loss = 9.747 , time = 0.49
Iter 40 training loss = 12.773 , time = 0.48
Iter 60 training loss = 5.845 , time = 0.47
Iter 80 training loss = 8.394 , time = 0.48
Iter 100 training loss = 10.214 , time = 0.50
Iter 120 training loss = 10.945 , time = 0.48
Iter 140 training loss = 10.747 , time = 0.46
Iter 160 training loss = 9.970 , time = 0.44
Iter 180 training loss = 7.769 , time = 0.50
Iter 200 training loss = 9.876 , time = 0.48
Iter 220 training loss = 7.587 , time = 0.52
Iter 240 training loss = 8.063 , time = 0.48
Iter 260 training loss = 6.250 , time = 0.48
Iter 280 training loss = 7.762 , time = 0.48
Iter 300 training loss = 6.961 , time = 0.50
Iter 320 training loss = 11.193 , time = 0.47
Iter 340 training loss = 9.220 , time = 0.49
Iter 360 training loss = 10.308 , time = 0.46
Iter 380 training loss = 9.002 , time = 0.44
Iter 400 training loss = 12.207 , time = 0.45
Iter 420 training loss = 9.078 , time = 0.48
Iter 440 training loss = 6.118 , time = 0.48
Iter 460 training loss = 8.481 , time = 0.49
Iter 480 training loss = 8.260 , time = 0.50
Iter 500 training loss = 7.254 , time = 0.49
Iter 520 training loss = 8.307 , time = 0.50
Iter 540 training loss = 8.009 , time = 0.48
Iter 560 training loss = 6.249 , time = 0.49
Iter 580 training loss = 8.578 , time = 0.51
Iter 600 training loss = 8.824 , time = 0.51
Iter 620 training loss = 7.305 , time = 0.49
Iter 640 training loss = 6.896 , time = 0.54
Iter 660 training loss = 7.237 , time = 0.50
Iter 680 training loss = 7.044 , time = 0.52
Iter 700 training loss = 7.884 , time = 0.49
Iter 720 training loss = 6.849 , time = 0.47
Iter 740 training loss = 7.342 , time = 0.51
Iter 760 training loss = 6.653 , time = 0.48
Iter 780 training loss = 9.572 , time = 0.50
Iter 800 training loss = 7.217 , time = 0.47
Iter 820 training loss = 8.474 , time = 0.47
Iter 840 training loss = 7.970 , time = 0.54
Iter 860 training loss = 9.359 , time = 0.49
Iter 880 training loss = 10.500 , time = 0.50
Iter 900 training loss = 11.608 , time = 0.47
Iter 920 training loss = 6.958 , time = 0.51
Iter 940 training loss = 8.910 , time = 0.47
Iter 960 training loss = 8.061 , time = 0.49
Iter 980 training loss = 6.411 , time = 0.50
Iter 1000 training loss = 8.484 , time = 0.53
Iter 1020 training loss = 6.500 , time = 0.50
Iter 1040 training loss = 10.096 , time = 0.51
Iter 1060 training loss = 5.659 , time = 0.49
Iter 1080 training loss = 9.567 , time = 0.47
Iter 1100 training loss = 9.323 , time = 0.47
Iter 1120 training loss = 12.440 , time = 0.49
Iter 1140 training loss = 8.574 , time = 0.51
Iter 1160 training loss = 7.806 , time = 0.47
Iter 1180 training loss = 7.095 , time = 0.50
Iter 1200 training loss = 10.061 , time = 0.49
Iter 1220 training loss = 7.933 , time = 0.46
Iter 1240 training loss = 7.605 , time = 0.50
Iter 1260 training loss = 7.189 , time = 0.47
Iter 1280 training loss = 8.074 , time = 0.53
Iter 1300 training loss = 6.803 , time = 0.50
Iter 1320 training loss = 11.349 , time = 0.47
Iter 1340 training loss = 8.372 , time = 0.46
Iter 1360 training loss = 8.717 , time = 0.44
Iter 1380 training loss = 9.696 , time = 0.45
Iter 1400 training loss = 6.767 , time = 0.44
Iter 1420 training loss = 11.226 , time = 0.45
Iter 1440 training loss = 9.349 , time = 0.44
Iter 1460 training loss = 9.352 , time = 0.44
Iter 1480 training loss = 6.968 , time = 0.45
Iter 1500 training loss = 5.798 , time = 0.44
Iter 1520 training loss = 5.602 , time = 0.45
Iter 1540 training loss = 6.478 , time = 0.45
Iter 1560 training loss = 6.139 , time = 0.45
Iter 1580 training loss = 6.739 , time = 0.45
Iter 1600 training loss = 15.233 , time = 0.45
Iter 1620 training loss = 6.673 , time = 0.45
Iter 1640 training loss = 5.662 , time = 0.45
Iter 1660 training loss = 6.633 , time = 0.45
Iter 1680 training loss = 5.445 , time = 0.45
Iter 1700 training loss = 8.875 , time = 0.44
Iter 1720 training loss = 7.726 , time = 0.45
Iter 1740 training loss = 7.970 , time = 0.44
Iter 1760 training loss = 9.103 , time = 0.44
Iter 1780 training loss = 8.158 , time = 0.44
Iter 1800 training loss = 7.455 , time = 0.45
Iter 1820 training loss = 7.355 , time = 0.45
Iter 1840 training loss = 8.863 , time = 0.45
Iter 1860 training loss = 8.278 , time = 0.45
Iter 1880 training loss = 6.929 , time = 0.44
Iter 1900 training loss = 8.497 , time = 0.45
Iter 1920 training loss = 6.825 , time = 0.45
Iter 1940 training loss = 8.884 , time = 0.45
Iter 1960 training loss = 7.843 , time = 0.44
Iter 1980 training loss = 10.542 , time = 0.44
Iter 2000 training loss = 10.351 , time = 0.45
Iter 2020 training loss = 9.683 , time = 0.44
Iter 2040 training loss = 7.058 , time = 0.44
Iter 2060 training loss = 5.984 , time = 0.45
Iter 2080 training loss = 6.956 , time = 0.45
Iter 2100 training loss = 10.611 , time = 0.44
Iter 2120 training loss = 7.914 , time = 0.45
Iter 2140 training loss = 8.249 , time = 0.44
Iter 2160 training loss = 12.030 , time = 0.46
Iter 2180 training loss = 6.757 , time = 0.45
Iter 2200 training loss = 9.054 , time = 0.44
epoch 2 total training loss = 8.046
This is 3-th epoch
learning rate : 0.000729
Iter 0 training loss = 7.778 , time = 0.50
Iter 20 training loss = 8.058 , time = 0.44
Iter 40 training loss = 7.923 , time = 0.44
Iter 60 training loss = 6.342 , time = 0.44
Iter 80 training loss = 7.681 , time = 0.44
Iter 100 training loss = 6.933 , time = 0.44
Iter 120 training loss = 5.628 , time = 0.44
Iter 140 training loss = 7.179 , time = 0.44
Iter 160 training loss = 9.705 , time = 0.44
Iter 180 training loss = 8.136 , time = 0.44
Iter 200 training loss = 6.182 , time = 0.44
Iter 220 training loss = 8.516 , time = 0.44
Iter 240 training loss = 7.404 , time = 0.45
Iter 260 training loss = 8.973 , time = 0.44
Iter 280 training loss = 7.736 , time = 0.44
Iter 300 training loss = 6.975 , time = 0.44
Iter 320 training loss = 10.571 , time = 0.44
Iter 340 training loss = 8.063 , time = 0.44
Iter 360 training loss = 6.054 , time = 0.44
Iter 380 training loss = 7.752 , time = 0.44
Iter 400 training loss = 7.066 , time = 0.45
Iter 420 training loss = 7.317 , time = 0.45
Iter 440 training loss = 8.935 , time = 0.44
Iter 460 training loss = 6.538 , time = 0.44
Iter 480 training loss = 7.396 , time = 0.44
Iter 500 training loss = 6.236 , time = 0.44
Iter 520 training loss = 7.813 , time = 0.44
Iter 540 training loss = 4.434 , time = 0.45
Iter 560 training loss = 5.008 , time = 0.44
Iter 580 training loss = 7.573 , time = 0.45
Iter 600 training loss = 8.374 , time = 0.44
Iter 620 training loss = 7.459 , time = 0.44
Iter 640 training loss = 5.553 , time = 0.45
Iter 660 training loss = 8.417 , time = 0.45
Iter 680 training loss = 6.810 , time = 0.44
Iter 700 training loss = 8.907 , time = 0.44
Iter 720 training loss = 4.652 , time = 0.44
Iter 740 training loss = 7.482 , time = 0.44
Iter 760 training loss = 8.258 , time = 0.45
Iter 780 training loss = 8.509 , time = 0.44
Iter 800 training loss = 10.512 , time = 0.45
Iter 820 training loss = 5.047 , time = 0.44
Iter 840 training loss = 7.658 , time = 0.44
Iter 860 training loss = 6.816 , time = 0.45
Iter 880 training loss = 6.456 , time = 0.44
Iter 900 training loss = 9.123 , time = 0.44
Iter 920 training loss = 6.220 , time = 0.44
Iter 940 training loss = 7.783 , time = 0.44
Iter 960 training loss = 9.720 , time = 0.44
Iter 980 training loss = 6.141 , time = 0.44
Iter 1000 training loss = 6.071 , time = 0.44
Iter 1020 training loss = 6.150 , time = 0.44
Iter 1040 training loss = 8.494 , time = 0.44
Iter 1060 training loss = 6.601 , time = 0.44
Iter 1080 training loss = 6.259 , time = 0.45
Iter 1100 training loss = 9.361 , time = 0.44
Iter 1120 training loss = 7.198 , time = 0.45
Iter 1140 training loss = 9.286 , time = 0.45
Iter 1160 training loss = 6.455 , time = 0.45
Iter 1180 training loss = 5.734 , time = 0.45
Iter 1200 training loss = 8.138 , time = 0.45
Iter 1220 training loss = 5.264 , time = 0.45
Iter 1240 training loss = 7.742 , time = 0.44
Iter 1260 training loss = 9.068 , time = 0.44
Iter 1280 training loss = 7.538 , time = 0.44
Iter 1300 training loss = 4.943 , time = 0.44
Iter 1320 training loss = 7.538 , time = 0.44
Iter 1340 training loss = 10.033 , time = 0.44
Iter 1360 training loss = 5.392 , time = 0.44
Iter 1380 training loss = 6.884 , time = 0.44
Iter 1400 training loss = 8.657 , time = 0.44
Iter 1420 training loss = 5.964 , time = 0.45
Iter 1440 training loss = 10.536 , time = 0.44
Iter 1460 training loss = 5.611 , time = 0.44
Iter 1480 training loss = 5.569 , time = 0.45
Iter 1500 training loss = 6.920 , time = 0.44
Iter 1520 training loss = 5.553 , time = 0.45
Iter 1540 training loss = 5.707 , time = 0.44
Iter 1560 training loss = 7.065 , time = 0.44
Iter 1580 training loss = 10.534 , time = 0.44
Iter 1600 training loss = 8.914 , time = 0.45
Iter 1620 training loss = 7.249 , time = 0.44
Iter 1640 training loss = 8.858 , time = 0.44
Iter 1660 training loss = 7.606 , time = 0.44
Iter 1680 training loss = 5.848 , time = 0.44
Iter 1700 training loss = 9.982 , time = 0.44
Iter 1720 training loss = 8.194 , time = 0.44
Iter 1740 training loss = 6.661 , time = 0.44
Iter 1760 training loss = 14.246 , time = 0.45
Iter 1780 training loss = 5.174 , time = 0.45
Iter 1800 training loss = 5.059 , time = 0.44
Iter 1820 training loss = 4.965 , time = 0.44
Iter 1840 training loss = 6.177 , time = 0.44
Iter 1860 training loss = 7.591 , time = 0.44
Iter 1880 training loss = 9.788 , time = 0.44
Iter 1900 training loss = 4.093 , time = 0.44
Iter 1920 training loss = 6.146 , time = 0.44
Iter 1940 training loss = 8.736 , time = 0.44
Iter 1960 training loss = 7.845 , time = 0.44
Iter 1980 training loss = 6.773 , time = 0.44
Iter 2000 training loss = 8.173 , time = 0.44
Iter 2020 training loss = 5.232 , time = 0.45
Iter 2040 training loss = 4.771 , time = 0.44
Iter 2060 training loss = 7.378 , time = 0.44
Iter 2080 training loss = 9.135 , time = 0.44
Iter 2100 training loss = 9.490 , time = 0.45
Iter 2120 training loss = 5.276 , time = 0.44
Iter 2140 training loss = 5.525 , time = 0.44
Iter 2160 training loss = 6.991 , time = 0.45
Iter 2180 training loss = 4.670 , time = 0.45
Iter 2200 training loss = 6.854 , time = 0.44
epoch 3 total training loss = 7.279
This is 4-th epoch
learning rate : 0.000656
Iter 0 training loss = 5.472 , time = 0.47
Iter 20 training loss = 7.313 , time = 0.44
Iter 40 training loss = 8.184 , time = 0.44
Iter 60 training loss = 10.403 , time = 0.44
Iter 80 training loss = 6.346 , time = 0.44
Iter 100 training loss = 8.950 , time = 0.44
Iter 120 training loss = 7.074 , time = 0.44
Iter 140 training loss = 5.101 , time = 0.44
Iter 160 training loss = 5.178 , time = 0.44
Iter 180 training loss = 7.306 , time = 0.44
Iter 200 training loss = 5.933 , time = 0.44
Iter 220 training loss = 5.416 , time = 0.44
Iter 240 training loss = 5.485 , time = 0.44
Iter 260 training loss = 6.133 , time = 0.44
Iter 280 training loss = 8.069 , time = 0.44
Iter 300 training loss = 5.437 , time = 0.45
Iter 320 training loss = 6.565 , time = 0.44
Iter 340 training loss = 5.908 , time = 0.44
Iter 360 training loss = 6.398 , time = 0.44
Iter 380 training loss = 5.419 , time = 0.44
Iter 400 training loss = 5.041 , time = 0.44
Iter 420 training loss = 7.774 , time = 0.44
Iter 440 training loss = 7.604 , time = 0.44
Iter 460 training loss = 7.679 , time = 0.45
Iter 480 training loss = 6.954 , time = 0.44
Iter 500 training loss = 4.179 , time = 0.45
Iter 520 training loss = 6.038 , time = 0.44
Iter 540 training loss = 7.691 , time = 0.44
Iter 560 training loss = 9.108 , time = 0.44
Iter 580 training loss = 6.464 , time = 0.44
Iter 600 training loss = 7.700 , time = 0.45
Iter 620 training loss = 5.804 , time = 0.44
Iter 640 training loss = 6.607 , time = 0.44
Iter 660 training loss = 5.711 , time = 0.44
Iter 680 training loss = 10.062 , time = 0.44
Iter 700 training loss = 8.136 , time = 0.45
Iter 720 training loss = 6.659 , time = 0.44
Iter 740 training loss = 4.328 , time = 0.45
Iter 760 training loss = 7.741 , time = 0.44
Iter 780 training loss = 8.093 , time = 0.44
Iter 800 training loss = 4.619 , time = 0.44
Iter 820 training loss = 6.548 , time = 0.45
Iter 840 training loss = 5.695 , time = 0.44
Iter 860 training loss = 5.268 , time = 0.45
Iter 880 training loss = 4.475 , time = 0.44
Iter 900 training loss = 7.699 , time = 0.44
Iter 920 training loss = 6.998 , time = 0.44
Iter 940 training loss = 6.194 , time = 0.44
Iter 960 training loss = 8.051 , time = 0.45
Iter 980 training loss = 7.218 , time = 0.44
Iter 1000 training loss = 5.730 , time = 0.45
Iter 1020 training loss = 6.549 , time = 0.44
Iter 1040 training loss = 6.383 , time = 0.45
Iter 1060 training loss = 6.953 , time = 0.44
Iter 1080 training loss = 6.031 , time = 0.44
Iter 1100 training loss = 4.804 , time = 0.45
Iter 1120 training loss = 7.120 , time = 0.44
Iter 1140 training loss = 5.743 , time = 0.44
Iter 1160 training loss = 4.868 , time = 0.44
Iter 1180 training loss = 4.602 , time = 0.44
Iter 1200 training loss = 7.093 , time = 0.44
Iter 1220 training loss = 6.007 , time = 0.44
Iter 1240 training loss = 7.458 , time = 0.44
Iter 1260 training loss = 5.763 , time = 0.44
Iter 1280 training loss = 4.710 , time = 0.44
Iter 1300 training loss = 5.179 , time = 0.44
Iter 1320 training loss = 8.008 , time = 0.45
Iter 1340 training loss = 7.184 , time = 0.45
Iter 1360 training loss = 5.395 , time = 0.44
Iter 1380 training loss = 8.613 , time = 0.44
Iter 1400 training loss = 7.633 , time = 0.44
Iter 1420 training loss = 6.297 , time = 0.44
Iter 1440 training loss = 6.443 , time = 0.45
Iter 1460 training loss = 6.413 , time = 0.44
Iter 1480 training loss = 6.970 , time = 0.44
Iter 1500 training loss = 4.429 , time = 0.45
Iter 1520 training loss = 6.402 , time = 0.44
Iter 1540 training loss = 8.150 , time = 0.45
Iter 1560 training loss = 6.429 , time = 0.44
Iter 1580 training loss = 5.517 , time = 0.46
Iter 1600 training loss = 7.103 , time = 0.45
Iter 1620 training loss = 3.610 , time = 0.46
Iter 1640 training loss = 6.010 , time = 0.45
Iter 1660 training loss = 9.198 , time = 0.44
Iter 1680 training loss = 7.301 , time = 0.44
Iter 1700 training loss = 6.217 , time = 0.44
Iter 1720 training loss = 4.929 , time = 0.44
Iter 1740 training loss = 7.399 , time = 0.44
Iter 1760 training loss = 6.072 , time = 0.44
Iter 1780 training loss = 5.692 , time = 0.44
Iter 1800 training loss = 5.947 , time = 0.44
Iter 1820 training loss = 6.949 , time = 0.44
Iter 1840 training loss = 5.437 , time = 0.44
Iter 1860 training loss = 5.078 , time = 0.44
Iter 1880 training loss = 5.183 , time = 0.44
Iter 1900 training loss = 7.598 , time = 0.44
Iter 1920 training loss = 6.596 , time = 0.44
Iter 1940 training loss = 5.963 , time = 0.44
Iter 1960 training loss = 7.785 , time = 0.44
Iter 1980 training loss = 7.941 , time = 0.44
Iter 2000 training loss = 5.268 , time = 0.44
Iter 2020 training loss = 4.472 , time = 0.44
Iter 2040 training loss = 6.797 , time = 0.45
Iter 2060 training loss = 6.530 , time = 0.44
Iter 2080 training loss = 6.950 , time = 0.44
Iter 2100 training loss = 4.946 , time = 0.44
Iter 2120 training loss = 6.582 , time = 0.44
Iter 2140 training loss = 6.205 , time = 0.44
Iter 2160 training loss = 6.192 , time = 0.44
Iter 2180 training loss = 7.048 , time = 0.44
Iter 2200 training loss = 4.016 , time = 0.44
epoch 4 total training loss = 6.598
This is 5-th epoch
learning rate : 0.000590
Iter 0 training loss = 5.888 , time = 0.46
Iter 20 training loss = 6.642 , time = 0.44
Iter 40 training loss = 5.186 , time = 0.44
Iter 60 training loss = 5.985 , time = 0.44
Iter 80 training loss = 7.730 , time = 0.44
Iter 100 training loss = 6.038 , time = 0.44
Iter 120 training loss = 6.081 , time = 0.44
Iter 140 training loss = 5.975 , time = 0.44
Iter 160 training loss = 5.966 , time = 0.44
Iter 180 training loss = 5.591 , time = 0.44
Iter 200 training loss = 5.951 , time = 0.44
Iter 220 training loss = 7.351 , time = 0.44
Iter 240 training loss = 7.204 , time = 0.44
